id,kuntanro,kuntanimi,asuntolkm,talotyyppi,rahmuoto,rahmuoto2,valmvuosi
1934,753,Sipoo,1,AP,VR,VO,2020
104,49,Espoo,1,AP,VR,VO,2020
498,49,Espoo,1,AP,VR,VO,2020
1966,858,Tuusula,1,AP,VR,VO,2020
737,91,Helsinki,2,AP,VR,VO,2020
125,49,Espoo,1,AP,VR,VO,2020
1276,92,Vantaa,6,AP,VR,VO,2020
420,49,Espoo,6,AP,VR,VO,2020
1595,245,Kerava,1,AP,VR,VO,2020
1089,92,Vantaa,1,AP,VR,VO,2020
1426,106,Hyvinkaa,39,AK,VR,VO,2020
1972,858,Tuusula,15,AP,ARA,ER,2020
1846,543,Nurmijarvi,1,AP,VR,VO,2020
1407,106,Hyvinkaa,1,AP,VR,VO,2020
1644,257,Kirkkonummi,1,AP,VR,VO,2020
1262,92,Vantaa,18,AK,VR,VO,2020
717,91,Helsinki,1,AP,VR,VO,2020
794,91,Helsinki,30,AK,VR,VO,2020
228,49,Espoo,1,AP,VR,VO,2020
802,91,Helsinki,5,AP,VR,VO,2020
619,91,Helsinki,22,AK,VR,VO,2020
12,49,Espoo,71,AK,VR,VV,2020
367,49,Espoo,2,AP,VR,VO,2020
350,49,Espoo,1,AP,VR,VO,2020
67,49,Espoo,1,AP,VR,VO,2020
1564,186,Jarvenpaa,5,AK,VR,VO,2020
1471,186,Jarvenpaa,2,AP,VR,VO,2020
582,91,Helsinki,8,AP,ARA,PK,2020
628,91,Helsinki,62,AK,VR,VO,2020
832,91,Helsinki,1,AP,VR,VO,2020
617,91,Helsinki,1,AP,VR,VO,2020
1031,92,Vantaa,126,AK,VR,VV,2020
833,91,Helsinki,1,AP,VR,VO,2020
1501,186,Jarvenpaa,1,AP,VR,VO,2020
1174,92,Vantaa,1,AP,VR,VO,2020
1014,91,Helsinki,1,AK,VR,VO,2020
902,91,Helsinki,1,AP,VR,VO,2020
1849,543,Nurmijarvi,1,AP,VR,VO,2020
906,91,Helsinki,1,AP,VR,VO,2020
1197,92,Vantaa,1,AP,VR,VO,2020
267,49,Espoo,1,AP,VR,VO,2020
1674,257,Kirkkonummi,1,AP,VR,VO,2020
1313,92,Vantaa,2,AP,VR,VO,2020
644,91,Helsinki,50,AK,VR,VO,2020
511,91,Helsinki,1,AP,VR,VO,2020
236,49,Espoo,1,AP,VR,VO,2020
2014,858,Tuusula,1,AP,VR,VO,2020
1866,753,Sipoo,1,AP,VR,VO,2020
1026,92,Vantaa,1,AP,VR,VO,2020
1712,505,Mantsala,1,AP,VR,VO,2020
592,91,Helsinki,33,AK,ASO,ASO,2020
1456,186,Jarvenpaa,40,AK,ASO,ASO,2020
1970,858,Tuusula,1,AP,VR,VO,2020
482,49,Espoo,1,AP,VR,VO,2020
1675,257,Kirkkonummi,1,AP,VR,VO,2020
1080,92,Vantaa,1,AP,VR,VO,2020
1542,186,Jarvenpaa,1,AP,VR,VO,2020
194,49,Espoo,1,AP,VR,VO,2020
560,91,Helsinki,18,AK,VR,VO,2020
445,49,Espoo,1,AP,VR,VO,2020
1385,235,Kauniainen,53,AK,VR,VO,2020
1590,245,Kerava,1,AP,VR,VO,2020
1914,753,Sipoo,1,AP,VR,VO,2020
2125,927,Vihti,1,AP,VR,VO,2020
1783,543,Nurmijarvi,1,AP,VR,VO,2020
2033,858,Tuusula,1,AP,VR,VO,2020
1120,92,Vantaa,1,AP,VR,VO,2020
1438,106,Hyvinkaa,1,AP,VR,VO,2020
211,49,Espoo,1,AP,VR,VO,2020
627,91,Helsinki,22,AK,VR,VO,2020
961,91,Helsinki,1,AK,VR,VO,2020
752,91,Helsinki,11,AK,ARA,LK,2020
492,49,Espoo,1,AP,VR,VO,2020
1662,257,Kirkkonummi,1,AP,VR,VO,2020
1447,106,Hyvinkaa,1,AP,VR,VO,2020
1115,92,Vantaa,1,AP,VR,VO,2020
894,91,Helsinki,1,AP,VR,VO,2020
425,49,Espoo,1,AP,VR,VO,2020
2006,858,Tuusula,6,AP,VR,VO,2020
1519,186,Jarvenpaa,2,AP,VR,VO,2020
215,49,Espoo,1,AP,VR,VO,2020
1898,753,Sipoo,1,AP,VR,VO,2020
131,49,Espoo,2,AP,VR,VO,2020
1333,92,Vantaa,93,AK,VR,VO,2020
1979,858,Tuusula,1,AP,VR,VO,2020
1765,543,Nurmijarvi,1,AP,VR,VO,2020
2126,927,Vihti,1,AP,VR,VO,2020
1493,186,Jarvenpaa,1,AP,VR,VO,2020
790,91,Helsinki,1,AP,VR,VO,2020
2146,927,Vihti,1,AP,VR,VO,2020
1177,92,Vantaa,37,AK,ASO,ASO,2020
1248,92,Vantaa,1,AP,VR,VO,2020
544,91,Helsinki,22,AK,ASO,ASO,2020
294,49,Espoo,1,AP,VR,VO,2020
577,91,Helsinki,1,AP,VR,VO,2020
95,49,Espoo,1,AP,VR,VO,2020
130,49,Espoo,2,AP,VR,VO,2020
550,91,Helsinki,1,AP,VR,VO,2020
402,49,Espoo,2,AP,VR,VO,2020
1946,858,Tuusula,1,AP,VR,VO,2020
1135,92,Vantaa,1,AP,VR,VO,2020
1762,543,Nurmijarvi,1,AP,VR,VO,2020
239,49,Espoo,2,AP,VR,VO,2020
1622,257,Kirkkonummi,1,AP,VR,VO,2020
36,49,Espoo,20,AK,VR,VO,2020
162,49,Espoo,1,AP,VR,VO,2020
1806,543,Nurmijarvi,2,AP,VR,VO,2020
722,91,Helsinki,22,AK,VR,VO,2020
694,91,Helsinki,2,AP,VR,VO,2020
75,49,Espoo,1,AP,VR,VO,2020
262,49,Espoo,1,AP,VR,VO,2020
673,91,Helsinki,40,AK,VR,VO,2020
1672,257,Kirkkonummi,1,AP,VR,VO,2020
2072,858,Tuusula,1,AP,VR,VO,2020
626,91,Helsinki,1,AP,VR,VO,2020
1416,106,Hyvinkaa,2,AP,VR,VO,2020
176,49,Espoo,2,AP,VR,VO,2020
221,49,Espoo,1,AP,VR,VO,2020
936,91,Helsinki,1,AP,VR,VO,2020
2016,858,Tuusula,1,AP,VR,VO,2020
1694,257,Kirkkonummi,5,AP,VR,VO,2020
1376,92,Vantaa,1,AP,VR,VO,2020
1642,257,Kirkkonummi,1,AP,VR,VO,2020
271,49,Espoo,1,AP,VR,VO,2020
1839,543,Nurmijarvi,36,AK,ARA,PK,2020
51,49,Espoo,14,AP,VR,VO,2020
1316,92,Vantaa,2,AP,VR,VO,2020
1328,92,Vantaa,34,AK,VR,VO,2020
87,49,Espoo,1,AP,VR,VO,2020
154,49,Espoo,1,AP,VR,VO,2020
1971,858,Tuusula,1,AP,VR,VO,2020
859,91,Helsinki,4,AP,VR,VO,2020
2021,858,Tuusula,1,AP,VR,VO,2020
177,49,Espoo,2,AP,VR,VO,2020
2100,927,Vihti,1,AP,VR,VO,2020
336,49,Espoo,1,AP,VR,VO,2020
1799,543,Nurmijarvi,1,AP,VR,VO,2020
149,49,Espoo,1,AP,VR,VO,2020
1368,92,Vantaa,2,AP,VR,VO,2020
1931,753,Sipoo,1,AP,VR,VO,2020
